央视频道,#genre#
CCTV1,http://120.234.187.66:10086/rtp/239.10.0.114:1025
CCTV1,http://120.234.187.66:10086/rtp/239.10.0.202:1025
CCTV1,http://120.234.187.66:10086/rtp/239.20.0.104:2006
CCTV1,http://120.234.187.66:10086/rtp/239.20.0.192:2182
CCTV2,http://120.234.187.66:10086/rtp/239.10.0.186:1025
CCTV2,http://120.234.187.66:10086/rtp/239.10.0.207:1025
CCTV2,http://120.234.187.66:10086/rtp/239.20.0.176:2150
CCTV2,http://120.234.187.66:10086/rtp/239.20.0.197:2192
CCTV3,http://120.234.187.66:10086/rtp/239.10.0.101:1025
CCTV3,http://120.234.187.66:10086/rtp/239.10.0.107:1025
CCTV3,http://120.234.187.66:10086/rtp/239.20.0.27:3296
CCTV3,http://120.234.187.66:10086/rtp/239.20.0.28:3292
CCTV4,http://120.234.187.66:10086/rtp/239.10.0.187:1025
CCTV4,http://120.234.187.66:10086/rtp/239.10.0.245:1025
CCTV4,http://120.234.187.66:10086/rtp/239.20.0.16:3340
CCTV4,http://120.234.187.66:10086/rtp/239.20.0.177:2152
CCTV4欧洲,http://120.234.187.66:10086/rtp/239.11.0.101:1025
CCTV4欧洲,http://120.234.187.66:10086/rtp/239.21.0.107:3768
CCTV4美洲,http://120.234.187.66:10086/rtp/239.11.0.102:1025
CCTV4美洲,http://120.234.187.66:10086/rtp/239.21.0.108:3772
CCTV5,http://120.234.187.66:10086/rtp/239.10.0.102:1025
CCTV5,http://120.234.187.66:10086/rtp/239.10.0.108:1025
CCTV5,http://120.234.187.66:10086/rtp/239.20.0.26:3300
CCTV5,http://120.234.187.66:10086/rtp/239.20.0.30:3284
CCTV5+,http://120.234.187.66:10086/rtp/239.10.0.213:1025
CCTV5+,http://120.234.187.66:10086/rtp/239.20.0.203:2204
CCTV6,http://120.234.187.66:10086/rtp/239.10.0.103:1025
CCTV6,http://120.234.187.66:10086/rtp/239.10.0.109:1025
CCTV6,http://120.234.187.66:10086/rtp/239.20.0.25:3304
CCTV6,http://120.234.187.66:10086/rtp/239.20.0.29:3288
CCTV7,http://120.234.187.66:10086/rtp/239.10.0.188:1025
CCTV7,http://120.234.187.66:10086/rtp/239.10.0.208:1025
CCTV7,http://120.234.187.66:10086/rtp/239.20.0.178:2154
CCTV7,http://120.234.187.66:10086/rtp/239.20.0.198:2194
CCTV8,http://120.234.187.66:10086/rtp/239.10.0.104:1025
CCTV8,http://120.234.187.66:10086/rtp/239.10.0.110:1025
CCTV8,http://120.234.187.66:10086/rtp/239.20.0.24:3308
CCTV8,http://120.234.187.66:10086/rtp/239.20.0.31:3280
CCTV9,http://120.234.187.66:10086/rtp/239.10.0.189:1025
CCTV9,http://120.234.187.66:10086/rtp/239.10.0.209:1025
CCTV9,http://120.234.187.66:10086/rtp/239.20.0.179:2156
CCTV9,http://120.234.187.66:10086/rtp/239.20.0.199:2196
CCTV10,http://120.234.187.66:10086/rtp/239.10.0.190:1025
CCTV10,http://120.234.187.66:10086/rtp/239.10.0.210:1025
CCTV10,http://120.234.187.66:10086/rtp/239.20.0.180:2158
CCTV10,http://120.234.187.66:10086/rtp/239.20.0.200:2198
CCTV11,http://120.234.187.66:10086/rtp/239.10.0.191:1025
CCTV11,http://120.234.187.66:10086/rtp/239.11.0.24:1025
CCTV11,http://120.234.187.66:10086/rtp/239.20.0.181:2160
CCTV11,http://120.234.187.66:10086/rtp/239.21.0.35:3480
CCTV12,http://120.234.187.66:10086/rtp/239.10.0.192:1025
CCTV12,http://120.234.187.66:10086/rtp/239.10.0.211:1025
CCTV12,http://120.234.187.66:10086/rtp/239.20.0.182:2162
CCTV12,http://120.234.187.66:10086/rtp/239.20.0.201:2200
CCTV13,http://120.234.187.66:10086/rtp/239.10.0.193:1025
CCTV13,http://120.234.187.66:10086/rtp/239.10.0.198:1025
CCTV13,http://120.234.187.66:10086/rtp/239.20.0.183:2164
CCTV13,http://120.234.187.66:10086/rtp/239.21.0.88:3692
CCTV14,http://120.234.187.66:10086/rtp/239.10.0.194:1025
CCTV14,http://120.234.187.66:10086/rtp/239.10.0.212:1025
CCTV14,http://120.234.187.66:10086/rtp/239.20.0.184:2166
CCTV14,http://120.234.187.66:10086/rtp/239.20.0.202:2202
CCTV15,http://120.234.187.66:10086/rtp/239.10.0.195:1025
CCTV15,http://120.234.187.66:10086/rtp/239.11.0.25:1025
CCTV15,http://120.234.187.66:10086/rtp/239.20.0.185:2168
CCTV15,http://120.234.187.66:10086/rtp/239.21.0.36:3484
CCTV16,http://120.234.187.66:10086/rtp/239.11.0.126:1025
CCTV16,http://120.234.187.66:10086/rtp/239.21.0.116:3808
CCTV17,http://120.234.187.66:10086/rtp/239.10.0.243:1025
CCTV17,http://120.234.187.66:10086/rtp/239.10.0.244:1025
CCTV17,http://120.234.187.66:10086/rtp/239.20.0.7:3376
CCTV17,http://120.234.187.66:10086/rtp/239.20.0.8:3372
CCTV风云音乐,http://120.234.187.66:10086/rtp/239.11.0.68:1025
CCTV风云音乐,http://120.234.187.66:10086/rtp/239.21.0.79:3656
CCTV世界地理,http://120.234.187.66:10086/rtp/239.11.0.63:1025
CCTV世界地理,http://120.234.187.66:10086/rtp/239.21.0.74:3636
CCTV第一剧场,http://120.234.187.66:10086/rtp/239.11.0.67:1025
CCTV第一剧场,http://120.234.187.66:10086/rtp/239.21.0.78:3652
CCTV风云剧场,http://120.234.187.66:10086/rtp/239.11.0.65:1025
CCTV风云剧场,http://120.234.187.66:10086/rtp/239.21.0.76:3644
CCTV央视精品,http://120.234.187.66:10086/rtp/239.11.0.66:1025
CCTV央视精品,http://120.234.187.66:10086/rtp/239.21.0.77:3648
CCTV兵器科技,http://120.234.187.66:10086/rtp/239.11.0.57:1025
CCTV兵器科技,http://120.234.187.66:10086/rtp/239.21.0.80:3660
CCTV风云足球,http://120.234.187.66:10086/rtp/239.11.0.59:1025
CCTV风云足球,http://120.234.187.66:10086/rtp/239.21.0.70:3620
CCTV高网频道,http://120.234.187.66:10086/rtp/239.11.0.61:1025
CCTV高网频道,http://120.234.187.66:10086/rtp/239.21.0.72:3628
CCTV怀旧剧场,http://120.234.187.66:10086/rtp/239.11.0.64:1025
CCTV怀旧剧场,http://120.234.187.66:10086/rtp/239.21.0.75:3640
CCTV女性时尚,http://120.234.187.66:10086/rtp/239.10.0.19:1025
CCTV女性时尚,http://120.234.187.66:10086/rtp/239.11.0.62:1025
CCTV女性时尚,http://120.234.187.66:10086/rtp/239.20.0.239:2276
CCTV女性时尚,http://120.234.187.66:10086/rtp/239.21.0.73:3632
CCTV央视台球,http://120.234.187.66:10086/rtp/239.11.0.60:1025
CCTV央视台球,http://120.234.187.66:10086/rtp/239.21.0.71:3624
CCTV卫生健康,http://120.234.187.66:10086/rtp/239.11.0.185:1025
CCTV卫生健康,http://120.234.187.66:10086/rtp/239.21.0.154:3960
CCTV电视指南,http://120.234.187.66:10086/rtp/239.11.0.58:1025
CCTV电视指南,http://120.234.187.66:10086/rtp/239.21.0.81:3664
卫视频道,#genre#
湖南卫视,http://120.234.187.66:10086/rtp/239.10.0.115:1025
湖南卫视,http://120.234.187.66:10086/rtp/239.10.0.145:1025
湖南卫视,http://120.234.187.66:10086/rtp/239.11.0.200:1025
湖南卫视,http://120.234.187.66:10086/rtp/239.20.0.105:2008
湖南卫视,http://120.234.187.66:10086/rtp/239.20.0.135:2068
湖南卫视,http://120.234.187.66:10086/rtp/239.21.0.166:4012
浙江卫视,http://120.234.187.66:10086/rtp/239.10.0.116:1025
浙江卫视,http://120.234.187.66:10086/rtp/239.10.0.179:1025
浙江卫视,http://120.234.187.66:10086/rtp/239.11.0.202:1025
浙江卫视,http://120.234.187.66:10086/rtp/239.20.0.106:2010
浙江卫视,http://120.234.187.66:10086/rtp/239.20.0.169:2136
浙江卫视,http://120.234.187.66:10086/rtp/239.21.0.168:4020
江苏卫视,http://120.234.187.66:10086/rtp/239.10.0.117:1025
江苏卫视,http://120.234.187.66:10086/rtp/239.10.0.180:1025
江苏卫视,http://120.234.187.66:10086/rtp/239.11.0.201:1025
江苏卫视,http://120.234.187.66:10086/rtp/239.20.0.107:2012
江苏卫视,http://120.234.187.66:10086/rtp/239.20.0.170:2138
江苏卫视,http://120.234.187.66:10086/rtp/239.21.0.167:4016
北京卫视,http://120.234.187.66:10086/rtp/239.10.0.131:1025
北京卫视,http://120.234.187.66:10086/rtp/239.10.0.147:1025
北京卫视,http://120.234.187.66:10086/rtp/239.20.0.121:2040
东方卫视,http://120.234.187.66:10086/rtp/239.10.0.118:1025
东方卫视,http://120.234.187.66:10086/rtp/239.10.0.183:1025
东方卫视,http://120.234.187.66:10086/rtp/239.11.0.203:1025
东方卫视,http://120.234.187.66:10086/rtp/239.20.0.108:2014
东方卫视,http://120.234.187.66:10086/rtp/239.20.0.173:2144
东方卫视,http://120.234.187.66:10086/rtp/239.21.0.169:4024
安徽卫视,http://120.234.187.66:10086/rtp/239.10.0.146:1025
安徽卫视,http://120.234.187.66:10086/rtp/239.10.0.203:1025
安徽卫视,http://120.234.187.66:10086/rtp/239.20.0.136:2070
安徽卫视,http://120.234.187.66:10086/rtp/239.20.0.193:2184
广东卫视,http://120.234.187.66:10086/rtp/239.10.0.111:1025
广东卫视,http://120.234.187.66:10086/rtp/239.10.0.141:1025
广东卫视,http://120.234.187.66:10086/rtp/239.10.0.45:1025
广东卫视,http://120.234.187.66:10086/rtp/239.20.0.101:2000
广东卫视,http://120.234.187.66:10086/rtp/239.20.0.131:2060
广东卫视,http://120.234.187.66:10086/rtp/239.20.0.99:3004
深圳卫视,http://120.234.187.66:10086/rtp/239.10.0.132:1025
深圳卫视,http://120.234.187.66:10086/rtp/239.10.0.144:1025
深圳卫视,http://120.234.187.66:10086/rtp/239.11.0.195:1025
深圳卫视,http://120.234.187.66:10086/rtp/239.20.0.122:2042
深圳卫视,http://120.234.187.66:10086/rtp/239.20.0.134:2066
深圳卫视,http://120.234.187.66:10086/rtp/239.21.0.161:3992
辽宁卫视,http://120.234.187.66:10086/rtp/239.10.0.185:1025
辽宁卫视,http://120.234.187.66:10086/rtp/239.20.0.175:2148
